Case_ID,Suspect_ID,First_Name,Middle_Name,Last_Name,Alias,Sex,Race,Nationality,Date_of_Birth,Age,Height_cm,Weight_kg,Eye_Color,Hair_Color,Skin_Tone,Blood_Type,Dominant_Hand,Scars,Tattoos,Facial_Hair,Occupation,Marital_Status,Address,City,Province,Postal_Code,Phone_Number,Crime_Type,Crime_Severity,Case_Status,Officer_Assigned,Evidence_Count,Fingerprint_Match,DNA_Match,Arrest_Date,Case_Open_Date,Case_Close_Date,Sentence_Years,Mugshot_ID,Notes
C100051,S200051,Aiden,,Smith,,Female,Latino,Canadian,1971-07-22,55,162,78,Blue,Brown,Medium,B+,Left,Small scar,Rose,None,Unknown,Single,665 Main St,Mississauga,Ontario,L82A4,555-2059,Burglary,3,Under Investigation,L. Chen,6,No,Yes,2024-03-30,2024-03-21,,16,MG300051,Synthetic training record
C100052,S200052,Ethan,,Taylor,,Female,South Asian,Canadian,1971-03-13,55,169,118,Blue,Black,Dark,B+,Left,None,Rose,Beard,Unknown,Married,300 Main St,Hamilton,Ontario,L99A2,555-3310,Cybercrime,3,Under Investigation,A. Brown,14,Yes,Yes,2026-04-29,2026-04-19,,6,MG300052,Synthetic training record
C100053,S200053,Arjun,,Garcia,,Female,Middle Eastern,Canadian,1992-09-21,34,164,101,Hazel,Red,Light,A-,Left,None,Tribal,Beard,Unknown,Single,469 Main St,Mississauga,Ontario,L63A0,555-3125,Fraud,4,Open,J. Carter,16,Yes,No,2024-11-07,2024-11-04,,2,MG300053,Synthetic training record
C100054,S200054,Ava,,Lee,,Female,East Asian,Canadian,1994-04-12,32,173,81,Green,Gray,Light,A+,Left,Forearm scar,None,Beard,Unknown,Married,326 Main St,Brampton,Ontario,L63A5,555-1455,Fraud,3,Under Investigation,L. Chen,11,No,Yes,2026-01-23,2026-01-15,,19,MG300054,Synthetic training record
C100055,S200055,Priya,,Patel,,Male,Latino,Canadian,2003-08-10,23,192,118,Hazel,Brown,Medium,O+,Left,Forearm scar,Tribal,None,Unknown,Single,975 Main St,Brampton,Ontario,L26A0,555-7044,Cybercrime,4,Open,J. Carter,25,Yes,No,2024-01-05,2024-01-02,,5,MG300055,Synthetic training record
C100056,S200056,Mason,,Taylor,,Male,East Asian,Canadian,1991-01-07,35,164,112,Brown,Red,Dark,O+,Right,Small scar,None,Mustache,Unknown,Single,921 Main St,Hamilton,Ontario,L78A4,,Burglary,4,Under Investigation,L. Chen,18,Yes,Yes,2024-02-07,2024-01-31,,7,MG300056,Synthetic training record
C100057,S200057,Priya,,Johnson,,Female,Latino,Canadian,1988-05-08,38,179,63,Hazel,Brown,Light,A+,Right,None,Tribal,None,Unknown,Married,803 Main St,Hamilton,Ontario,L60A6,555-7991,Vandalism,4,Under Investigation,S. Patel,6,Yes,No,2024-10-21,2024-10-16,,0,MG300057,Synthetic training record
C100058,S200058,Aiden,,Johnson,,Female,White,Canadian,2005-01-12,21,175,118,Brown,Red,Light,B+,Right,Small scar,Dragon,Mustache,Unknown,Married,813 Main St,Toronto,Ontario,L83A4,555-3153,Cybercrime,5,Closed,A. Brown,22,No,Yes,2024-03-30,2024-03-20,2025-01-14,11,MG300058,Synthetic training record
C100059,S200059,Emma,,Brown,,Male,Indigenous,Canadian,1974-03-17,52,188,107,Hazel,Blonde,Light,A+,Left,None,Dragon,Mustache,Unknown,Married,189 Main St,Ottawa,Ontario,L32A6,555-1564,Robbery,2,Closed,J. Carter,25,No,No,2024-07-06,2024-07-05,2025-02-19,10,MG300059,Synthetic training record
C100060,S200060,Aiden,,Chen,,Female,Latino,Canadian,1971-11-07,55,196,105,Hazel,Gray,Medium,A-,Left,None,None,Mustache,Unknown,Married,923 Main St,Mississauga,Ontario,L63A8,555-5120,Cybercrime,4,Open,L. Chen,25,No,No,2025-03-17,2025-03-07,,20,MG300060,Synthetic training record
C100061,S200061,Noah,,Taylor,,Female,South Asian,Canadian,1984-08-13,42,197,120,Hazel,Blonde,Dark,A+,Right,None,Rose,Mustache,Unknown,Single,149 Main St,Ottawa,Ontario,L66A3,555-8879,Vandalism,1,Open,J. Carter,2,Yes,Yes,2024-07-22,2024-07-22,,15,MG300061,Synthetic training record
C100062,S200062,Priya,,Brown,,Male,Middle Eastern,Canadian,1977-01-22,49,195,90,Brown,Blonde,Light,AB+,Right,Forearm scar,Dragon,None,Unknown,Single,105 Main St,Mississauga,Ontario,L27A2,555-6823,Burglary,1,Open,M. Singh,15,Yes,Yes,2025-01-15,2025-01-06,,20,MG300062,Synthetic training record
C100063,S200063,Olivia,,Johnson,,Male,White,Canadian,1967-03-03,59,185,81,Hazel,Gray,Light,B+,Left,None,Tribal,None,Unknown,Married,795 Main St,Hamilton,Ontario,L17A6,555-1921,Burglary,5,Closed,J. Carter,10,Yes,Yes,2025-05-07,2025-04-27,2025-11-11,17,MG300063,Synthetic training record
C100064,S200064,Mason,,Chen,,Female,Black,Canadian,2000-12-13,26,197,63,Blue,Black,Medium,O+,Left,None,None,Beard,Unknown,Married,351 Main St,Brampton,Ontario,L34A9,555-6090,Fraud,1,Closed,M. Singh,6,Yes,Yes,2025-01-19,2025-01-14,2025-04-18,19,MG300064,Synthetic training record
C100065,S200065,Liam,,Brown,,Female,White,Canadian,2004-04-28,22,199,92,Brown,Brown,Dark,B+,Right,Forearm scar,Rose,Beard,Unknown,Married,144 Main St,Hamilton,Ontario,L33A4,555-9987,Assault,5,Open,A. Brown,23,Yes,No,2024-05-10,2024-04-30,,11,MG300065,Synthetic training record
C100066,S200066,Lucas,,Brown,,Male,East Asian,Canadian,1971-01-22,55,194,119,Hazel,Red,Light,O+,Left,None,Dragon,None,Unknown,Married,129 Main St,Hamilton,Ontario,L52A9,,Robbery,2,Closed,A. Brown,24,Yes,No,2024-10-18,2024-10-12,2025-02-08,20,MG300066,Synthetic training record
C100067,S200067,Sophia,,Williams,,Male,East Asian,Canadian,1973-04-25,53,183,86,Green,Brown,Dark,A+,Right,Forearm scar,Dragon,Mustache,Unknown,Married,264 Main St,Toronto,Ontario,L25A6,555-7562,Robbery,5,Open,L. Chen,0,No,Yes,2024-12-12,2024-12-06,,6,MG300067,Synthetic training record
C100068,S200068,Emma,,Garcia,,Male,White,Canadian,1962-04-14,64,191,93,Green,Blonde,Medium,B+,Right,Forearm scar,Tribal,Beard,Unknown,Married,532 Main St,Waterloo,Ontario,L11A8,555-9181,Robbery,5,Under Investigation,L. Chen,17,Yes,No,2025-11-23,2025-11-17,,4,MG300068,Synthetic training record
C100069,S200069,Mason,,Wilson,,Male,South Asian,Canadian,1987-05-15,39,187,117,Brown,Red,Dark,A+,Left,None,None,Beard,Unknown,Married,677 Main St,Toronto,Ontario,L40A6,555-3327,Assault,4,Under Investigation,A. Brown,6,Yes,No,2024-09-19,2024-09-17,,0,MG300069,Synthetic training record
C100070,S200070,Amelia,,Brown,,Male,Middle Eastern,Canadian,2001-02-27,25,157,58,Blue,Red,Light,O+,Left,None,Dragon,None,Unknown,Single,421 Main St,Toronto,Ontario,L12A2,555-9912,Theft,4,Open,L. Chen,11,No,No,2024-06-16,2024-06-10,,16,MG300070,Synthetic training record
C100071,S200071,Amelia,,Patel,,Male,Latino,Canadian,1970-04-23,56,156,120,Green,Blonde,Light,A-,Right,None,Rose,Mustache,Unknown,Married,15 Main St,Ottawa,Ontario,L15A0,555-4606,Cybercrime,3,Under Investigation,J. Carter,5,Yes,Yes,2024-01-27,2024-01-26,,12,MG300071,Synthetic training record
C100072,S200072,Priya,,Smith,,Male,Latino,Canadian,1991-06-25,35,193,60,Blue,Black,Medium,AB+,Right,Small scar,Rose,Beard,Unknown,Married,308 Main St,Hamilton,Ontario,L45A8,555-2835,Fraud,4,Closed,L. Chen,5,No,No,2024-09-13,2024-09-08,2025-02-21,2,MG300072,Synthetic training record
C100073,S200073,Priya,,Taylor,,Female,Middle Eastern,Canadian,1960-06-27,66,157,100,Blue,Blonde,Light,AB+,Left,Small scar,Tribal,Mustache,Unknown,Single,173 Main St,Waterloo,Ontario,L45A1,555-3482,Fraud,2,Closed,L. Chen,14,No,No,2025-11-09,2025-11-03,2025-12-20,20,MG300073,Synthetic training record
C100074,S200074,Ava,,Wilson,,Female,East Asian,Canadian,2007-09-13,19,181,120,Brown,Brown,Dark,A-,Left,Forearm scar,Tribal,Beard,Unknown,Single,220 Main St,Hamilton,Ontario,L11A4,555-2984,Vandalism,1,Under Investigation,L. Chen,5,Yes,Yes,2026-03-23,2026-03-13,,16,MG300074,Synthetic training record
C100175,S200075,Arjun,,Martin,,Male,White,Canadian,2000-04-01,26,157,106,Green,Blonde,Medium,A-,Right,Small scar,Dragon,None,Unknown,Single,370 Main St,London,Ontario,L20A0,555-8155,Cybercrime,5,Closed,S. Patel,18,No,Yes,2026-03-19,2026-03-14,2026-11-05,16,MG300075,Synthetic training record
C100076,S200076,Amelia,,Williams,,Female,East Asian,Canadian,1961-10-24,65,193,87,Green,Brown,Dark,O+,Right,Forearm scar,Rose,Beard,Unknown,Married,793 Main St,Ottawa,Ontario,L65A5,555-9746,Cybercrime,4,Under Investigation,S. Patel,10,No,Yes,2026-03-17,2026-03-12,,20,MG300076,Synthetic training record
C100077,S200077,Param,,Lee,,Female,White,Canadian,1993-02-17,33,181,74,Green,Brown,Dark,A+,Left,Small scar,None,Mustache,Unknown,Single,305 Main St,London,Ontario,L85A1,555-9368,Vandalism,2,Open,L. Chen,14,Yes,Yes,2025-05-02,2025-04-29,,3,MG300077,Synthetic training record
C100078,S200078,Priya,,Lee,,Male,White,Canadian,1965-08-24,61,167,107,Brown,Black,Medium,A-,Right,None,Rose,None,Unknown,Married,220 Main St,Ottawa,Ontario,L77A1,555-1497,Assault,4,Under Investigation,M. Singh,6,No,Yes,2025-09-06,2025-08-27,,17,MG300078,Synthetic training record
C100079,S200079,Amelia,,Martin,,Female,Black,Canadian,2000-08-21,26,185,58,Green,Gray,Medium,A-,Left,Small scar,Tribal,None,Unknown,Married,638 Main St,Hamilton,Ontario,L20A9,555-5141,Cybercrime,2,Closed,S. Patel,5,Yes,No,2025-11-10,2025-11-10,2026-06-23,5,MG300079,Synthetic training record
C100080,S200080,Mia,,Martin,,Male,Middle Eastern,Canadian,2004-03-21,22,171,81,Hazel,Red,Medium,AB+,Left,None,Rose,Beard,Unknown,Married,935 Main St,Brampton,Ontario,L48A8,555-6625,Vandalism,4,Under Investigation,A. Brown,10,Yes,No,2024-05-30,2024-05-21,,8,MG300080,Synthetic training record
